No;SGoF
1;0.040270324
2;0.558131438
3;0.200472517
4;0.015048219
5;0.530754918
6;0.631628916
7;0.330159931
8;0.653436543
9;0.429316856
10;0.673066379
11;0.145166043
12;0.60381107
13;0.597741127
14;0.270648619
15;0.314045353
16;0.13059503
17;0.704233595
18;0.055510665
19;0.344567895
20;0.33478486
21;0.062188738
22;0.097743156
23;0.120836814
24;0.148941184
25;0.133500416
26;0.955782541
27;0.353584408
28;0.811774545
29;0.21821247
30;8.97E-05
31;3.81E-06
32;0.593073391
33;0.066017921
34;0.297336781
35;0.44791758
36;0.24856768
37;0.264251486
38;0.394485876
39;0.661834323
40;0.019069972
41;0.159998264
42;0.034095847
43;0.018161954
44;0.474844704
45;0.051297522
46;0.01470304
47;0.039354092
48;0.107860994
49;0.564313889
50;0.077756832
51;0.00482312
52;0.769723851
53;0.016402709
54;0.701840564
55;0.634015815
56;0.08455345
57;0.004278247
58;0.416897446
59;0.383209354
60;0.105822507
61;0.42716042
62;0.758451224
63;0.909279201
64;0.868454321
65;0.31537376
66;0.104427359
67;0.002305273
68;0.197601185
69;0.578070967
70;0.019719141
71;0.02938336
72;0.740721846
73;0.272584139
74;0.045842644
75;0.258129313
76;0.008221351
77;0.154099293
78;0.86914099
79;0.001825998
80;0.002851608
81;0.087307306
82;0.394112158
83;0.155490083
84;0.131777811
85;0.410191455
86;0.337791437
87;0.372030638
88;0.959847614
89;0.233944118
90;0.809256905
91;0.722685536
92;0.445246318
93;0.057096949
94;0.010911564
95;0.110646451
96;0.094705816
97;0.113064602
98;0.430504828
99;0.535654876
100;0.036962539
101;0.0037458
102;0.791551435
103;0.000148447
104;0.117283478
105;0.58904295
106;0.121955677
107;0.040082425
108;0.491999588
109;0.558598009
110;0.434014368
111;0.389202738
112;0.158291077
113;0.339983487
114;0.148098236
115;0.144337993
116;0.210214641
117;0.759457111
118;0.524273007
119;0.291304858
120;0.047203993
121;0.928541255
122;0.835524976
123;0.795286604
124;0.001273985
125;0.528270887
126;0.019025644
127;0.422191945
128;0.130505184
129;0.444326928
130;0.051823308
131;0.201814956
132;0.36567477
133;0.411444723
134;0.870734224
135;0.454451693
136;0.264011988
137;0.981931946
138;0.38217367
139;0.076150774
140;0.815408892
141;0.387457083
142;0.112188489
143;0.823765896
144;0.353398818
145;0.002789428
146;0.065835466
147;0.227153199
148;0.012718696
149;0.200151902
150;0.494391133
151;0.485708527
152;0.380867568
153;0.035777355
154;0.874224396
155;0.102113647
156;0.002278806
157;0.863594136
158;0.230986524
159;0.466426641
160;0.606524829
161;0.075847099
162;0.723399383
163;0.601809942
164;0.818305484
165;0.154506473
166;0.004971488
167;0.318963096
168;0.010776125
169;0.980796152
170;0.327238237
171;0.268518378
172;0.592282237
173;0.286090226
174;0.044719135
175;0.266833065
176;0.055155194
177;0.015428129
178;0.007056397
179;0.192866125
180;0.762879962
181;0.130053342
182;0.203953847
183;0.119499207
184;0.392329751
185;0.551719599
186;0.735339039
